Problem,Model,Set,Steps,Position MSE Mean,Position MSE Std,Velocity MSE Mean,Velocity MSE Std
three_body,MLP,test,100,4.5078483529211054e+27,9.015696705842211e+27,5492632434364386.0,1.0985264868728772e+16
three_body,MLP,test,500,107652462368.97723,165077772389.9068,0.17345355242136887,0.006580057827361473
three_body,LSTM,train,10,10725038863.932516,7683888713.868273,0.26607429718290854,0.009738940388095361
three_body,LSTM,train,100,29355784083.01083,19749734692.873257,0.26166220215459923,0.009685600315115837
three_body,LSTM,train,500,29406759226.44854,19762511691.42349,0.2616442515975401,0.009713872947992922
three_body,LSTM,val,10,14745549440.42456,11560456027.426785,0.10935318145200743,0.005897480366937801
three_body,LSTM,val,100,25097911119.475204,17073130545.012032,0.10674785907046079,0.0063652345990868
three_body,LSTM,val,500,25125989655.22683,17088132093.293482,0.10673472395006763,0.0063799924604764436
three_body,LSTM,test,10,12213082954.346115,10639931119.207487,0.1674121341483373,0.005691848871143115
three_body,LSTM,test,100,24809545365.23365,13345116052.428493,0.16473158710058328,0.00713044005920288
three_body,LSTM,test,500,24822879743.507042,13444006471.634819,0.16467440934648536,0.007113684494492106
three_body,PINN,train,10,2533618496.798905,3842178645.7990346,0.27628911648923077,0.0061486034383835325
three_body,PINN,train,100,37637614505.2029,71542148387.34732,0.2730042564235337,0.008126318746763254
three_body,PINN,train,500,36228924251.03345,68365072280.58329,0.2729085909952534,0.008198566594608605
three_body,PINN,val,10,4506714673.9819355,7866982032.084971,0.11788277264681518,0.005132056696548064
three_body,PINN,val,100,37616187384.58879,71267476133.1562,0.11679029703632982,0.006231525685564058
three_body,PINN,val,500,36214584294.76993,68372541806.69793,0.11696664677191175,0.0060662398822839535
three_body,PINN,test,10,3268004897.7084026,5098412856.906822,0.17724003002068137,0.0066375504646499816
three_body,PINN,test,100,37425351280.08695,71239973605.99571,0.17469407797589195,0.00665075847772573
three_body,PINN,test,500,36217989384.365234,68370708549.03605,0.17326911422300822,0.007178951696080194
